07/08/2016,Summit 2016,177,Kitchener, ON,Canada,Professor Pro,https://smash.gg/tournament/summit-2016/brackets
06/08/2016,805 Alive 3,100,Newbury Park, CA,SoCal,MacD,https://smash.gg/tournament/805-alive-3-3/brackets
06/08/2016,City of Melee: Arcadian,101,Melbourne, Australia,Australia,Fess,https://smash.gg/tournament/city-of-melee-arcadian/brackets/14465/52214/171726
31/07/2016,Revelation 2016,135,Denver, CO,Southwest,S2J,https://smash.gg/tournament/revelation-2016/brackets
31/07/2016,Smash Factor 5,134,Cholula, Mexico,Lat. Am.,n0ne,https://smash.gg/tournament/smash-factor-5/brackets
31/07/2016,Kings of Vancouver III,127,Vancouver, BC,Canada,Bladewise,https://smash.gg/tournament/kings-of-vancouver-iii/brackets/13797/57650/188170
31/07/2016,Super Smash Sundays 49,127,Pomona, CA,SoCal,Westballz,https://smash.gg/tournament/super-smash-sundays-49/brackets
23/07/2016,Emerald City 4,168,Seattle, WA,Northwest,Silent Wolf,https://smash.gg/tournament/emerald-city-4/brackets
23/07/2016,SoCal Colosseum 2,223,South Pasadena, CA,SoCal,n0ne,https://smash.gg/tournament/socal-colosseum-2-post-evo-kickback-ft-s2j-n0ne-chillindude/brackets
23/07/2016,Rubicon 12,143,Chicago, IL,Midwest,SFAT,https://smash.gg/tournament/rubicon-12/brackets
10/07/2016,Azension,114,Vaxjo, Sweden,Europe,Android,https://smash.gg/tournament/azension/brackets
10/07/2016,Super Smash Sundays 48,133,Pomona, CA,SoCal,Ice,https://smash.gg/tournament/super-smash-sundays-48/brackets
03/07/2016,WTFox 2,291,Memphis, TN,Atl. South,Mango,https://smash.gg/tournament/wtfox-2/brackets
03/07/2016,Super Smash Sundays 47,146,Pomona, CA,SoCal,Lucky,https://smash.gg/tournament/super-smash-sundays-47/brackets
26/06/2016,CEO 2016,678,Orlando, FL,Florida,Hungrybox,https://smash.gg/tournament/ceo-2016/brackets/11787/45263/150460
25/06/2016,Cincinnati Smash Classic V,117,Cincinnati, OH,Midwest,Split*,https://smash.gg/tournament/cincinnati-smash-classic-v/brackets/13286/47040/156356
25/06/2016,Push More Buttons,127,Minneapolis, MN,Midwest,Kels,https://smash.gg/tournament/push-more-buttons/brackets/13077/44500/147996
19/06/2016,Low Tier City 4,294,Plano, TX,Southwest,Hungrybox,https://smash.gg/tournament/low-tier-city-4/brackets
19/06/2016,Apex 2016,159,Somerset, NJ,Tristate,Mew2King,https://smash.gg/tournament/apex-2016/brackets
19/06/2016,DreamHack Summer,117,Jonkoping, Sweden,Europe,Leffen,http://bts.challonge.com/dhs16s
18/06/2016,Emerald City III,241,Seattle, WA,Northwest,SFAT,https://smash.gg/tournament/emerald-city-iii/brackets/12931/44233/147138
18/06/2016,Rubicon 11,112,Chicago, IL,Midwest,KJH,https://smash.gg/tournament/rubicon-11-ft-hugs/brackets/13355/45219/150130
12/06/2016,Rain City Smash,134,Vancouver, BC,Canada,MojoMonkey,https://smash.gg/tournament/rain-city-smash/brackets/11937/19708/65813
12/06/2016,Smash N Splash 2,459,Gurnee, IL,Midwest,Hungrybox,https://smash.gg/tournament/smash-n-splash-2-1/brackets
11/06/2016,Mayhem 28,188,South Pasadena, CA,SoCal,Lucky,https://smash.gg/tournament/mayhem-28/brackets/13500/42998/143355
10/06/2016,ASH @ WIT 63,107,Aurora, IL,Midwest,SFAT,http://challonge.com/ashwit63melee
05/06/2016,Super Smash Sundays 45,179,Pomona, CA,SoCal,Westballz,https://smash.gg/tournament/super-smash-sundays-45/brackets/13240/39494/132151
04/06/2016,Rise of the Empire,123,East Lansing, MI,Midwest,Colbol,https://smash.gg/tournament/rise-of-the-empire-melee-and-pm-ft-colbol-swedishdelight-1/details
